Titel, Referentiedatasoort[Waarden],
"Referentiedatasoort:COMMUNICATIERICHTING","Klasse,Klasse:VERA-Contactmomenten/VERA 4.1.4+240311.2,Relaties,
Bericht,Klasse:BDO-Informatieobjecten/VERA 4.1.4+240311.2,BDO
Bericht,Klasse:BRG-Contactmomenten/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:KMT-Kwaliteitsmetingsverzoeken/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:OHD-Onderhoudsverzoeken/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:WRV-Aanbiedingen/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Reclamaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:COMMUNICATIEVOORKEURSOORT","Klasse,Klasse:VERA-Communicatievoorkeuren/VERA 4.1.4+240311.2,Relaties,
Bericht,Klasse:BRG-Relaties/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:KMT-Kwaliteitsmetingsverzoeken/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:WRV-Eenheden/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Relaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:CONDITIESCORE","Klasse,Klasse:VERA-Conditiemetingen/VERA 4.1.4+240311.2,Vastgoed"
"Referentiedatasoort:CONTACTGEGEVENDETAILSOORT","Klasse,Klasse:VERA-Contactgegevens/VERA 4.1.4+240311.2,Relaties,
Klasse,Klasse:VERA-Telefoonnummers/VERA 4.1.4+240311.2,Relaties,
Bericht,Klasse:BRG-Relaties/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:KMT-Kwaliteitsmetingsverzoeken/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:KMT-Onderzoeksopdrachten/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:OHD-Afspraken/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:OHD-Onderhoudsorders/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:OHD-Onderhoudsverzoeken/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:WRV-Aanbiedingen/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Eenheden/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Kandidaten/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Reclamaties/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Relaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:CONTACTGEGEVENSOORT","Klasse,Klasse:VERA-Contactgegevens/VERA 4.1.4+240311.2,Relaties,
Klasse,Klasse:VERA-NatuurlijkPersonen/VERA 4.1.4+240311.2,Relaties,
Klasse,Klasse:VERA-Onderhoudsleveranciers/VERA 4.1.4+240311.2,Relaties,
Klasse,Klasse:VERA-Rechtspersonen/VERA 4.1.4+240311.2,Relaties,
Klasse,Klasse:VERA-Relaties/VERA 4.1.4+240311.2,Relaties,
Klasse,Klasse:VERA-Relatiegroepen/VERA 4.1.4+240311.2,Relaties,
Klasse,Klasse:VERA-Telefoonnummers/VERA 4.1.4+240311.2,Relaties,
Bericht,Klasse:BRG-Relaties/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:BRG-Relaties/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:KMT-Kwaliteitsmetingsverzoeken/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:KMT-Kwaliteitsmetingsverzoeken/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:KMT-Onderzoeksopdrachten/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:OHD-Afspraken/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:OHD-Onderhoudsorders/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:OHD-Onderhoudsverzoeken/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:WRV-Aanbiedingen/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Eenheden/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Eenheden/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Kandidaten/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Kandidaten/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Reclamaties/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Relaties/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Relaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:CONTACTGEGEVENSTATUS","Klasse,Klasse:VERA-Contactgegevens/VERA 4.1.4+240311.2,Relaties,
Klasse,Klasse:VERA-Telefoonnummers/VERA 4.1.4+240311.2,Relaties,
Bericht,Klasse:BRG-Relaties/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:KMT-Kwaliteitsmetingsverzoeken/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:KMT-Onderzoeksopdrachten/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:OHD-Afspraken/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:OHD-Onderhoudsorders/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:OHD-Onderhoudsverzoeken/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:WRV-Aanbiedingen/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Eenheden/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Kandidaten/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Relaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:CONTACTGEGEVENVOORKEUR","Klasse,Klasse:VERA-Contactgegevens/VERA 4.1.4+240311.2,Relaties,
Klasse,Klasse:VERA-Telefoonnummers/VERA 4.1.4+240311.2,Relaties,
Bericht,Klasse:BRG-Relaties/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:KMT-Kwaliteitsmetingsverzoeken/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:KMT-Onderzoeksopdrachten/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:OHD-Afspraken/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:OHD-Onderhoudsorders/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:OHD-Onderhoudsverzoeken/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:WRV-Aanbiedingen/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Eenheden/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Kandidaten/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Relaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:CONTACTMOMENTDETAILSOORT","Klasse,Klasse:VERA-Contactmomenten/VERA 4.1.4+240311.2,Relaties,
Bericht,Klasse:BDO-Informatieobjecten/VERA 4.1.4+240311.2,BDO
Bericht,Klasse:BRG-Contactmomenten/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:WRV-Aanbiedingen/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Reclamaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:CONTACTMOMENTSOORT","Klasse,Klasse:VERA-Contactmomenten/VERA 4.1.4+240311.2,Relaties,
Bericht,Klasse:BDO-Informatieobjecten/VERA 4.1.4+240311.2,BDO
Bericht,Klasse:BRG-Contactmomenten/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:WRV-Aanbiedingen/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Reclamaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:CORRECTIESOORT","Klasse,Klasse:VERA-Facturen/VERA 4.1.4+240311.2,Financien,
Klasse,Klasse:VERA-Inkoopfacturen/VERA 4.1.4+240311.2,Financien,
Klasse,Klasse:VERA-Verkoopfacturen/VERA 4.1.4+240311.2,Financien,
Bericht,Klasse:OHD-Inkoopfacturen/VERA 4.1.4+240311.2,OHD"
